U,I
"0,04","0,0096"
"6,91","0,1267"
"14,17","0,2991"
"20,89","0,4277"
"28,07","0,4577"
"34,98","0,6271"
"42,28","0,6123"
"49,51","0,6309"
"56,02","0,7001"
"63,7","0,7472"
"69,04","0,7588"
"10,5","0,2122"
"17,67","0,3807"
"24,37","0,3809"
"30,62","0,5422"
"38,64","0,6662"
"48,48","0,6433"
"55,58","0,7111"
"44,97","0,6184"
"40,03","0,6508"
"35,96","0,6614"
"37,03","0,6679"
"19,14","0,417"
"22,07","0,4455"
"23,05","0,4486"
"24,04","0,4513"
"25,09","0,3971"
"26,07","0,4253"
"27,03","0,4547"
