V,Va
"0,005","-0,15"
"0,11","0,08"
"0,199","0,59"
"0,255","1,31"
"0,301","2,21"
"0,342","3,36"
"0,409","6,08"
"0,451","8,39"
"0,508","12,61"
"0,546","16,24"
"0,606","23,44"
"0,647","29,36"
"0,7","39,07"
"0,748","48,77"
"0,807","61,52"
"0,863","74,87"
"0,9","83,65"
"0,959","97,58"
"1,085","125,01"
"1,141","135,65"
"1,278","156,58"
"1,361","165,99"
"1,404","169,78"
"1,449","172,78"
"1,515","176,15"
"1,55","177,39"
"1,599","178,32"
"1,651","178,7"
"1,699","178,48"
"1,749","177,58"
"1,805","176,08"
"1,854","174,72"
"1,906","172,74"
"1,954","170,49"
"2,012","167,57"
"2,107","162,31"
"2,309","150,37"
"2,507","138,69"
"2,696","127,79"
"2,903","117,81"
"3,1","109,45"
"3,201","106,17"
"3,258","103,77"
"3,312","101,2"
"3,403","98,89"
"3,511","95,66"
"3,607","92,84"
"3,695","92,58"
"3,743","92,9"
"3,806","91,04"
"3,856","90,55"
"3,911","98,34"
"3,96","88,6"
"4,011","87,89"
"4,06","87,12"
"4,108","86,73"
"4,152","86,7"
"4,196","86,18"
"4,252","83,99"
"4,303","84,09"
"4,353","83,9"
"4,408","82,59"
"4,456","81,4"
"4,504","80,76"
"4,554","81,19"
"4,613","79,89"
"4,651","79,35"
"4,759","77,77"
"4,852","76,77"
"4,958","75,59"
"5,05","75,12"
"5,151","74,09"
"5,252","73,7"
"5,293","73,2"
"5,349","74,01"
"5,407","73,99"
"5,445","73,99"
"5,507","74,15"
"5,548","74,08"
"5,702","73,29"
"5,916","72,57"
"6,106","72,45"
"6,156","73,29"
"6,207","73,74"
"6,248","73,62"
"6,311","73,85"
"6,35","73,99"
"6,401","74,29"
"6,491","74,42"
"6,609","74,55"
"6,833","75,32"
"7,111","76,43"
"7,31","77,67"
"7,509","78,57"
